District,SquareMeter,Price
Kurucesme,135,15750000
Bebek,135,13750000
Visnezade,135,9500000
Türkali,135,8500000
Dikilitas,135,7250000
Mueyyitzade,130,18000000
Ulus,130,14600000
Gayrettepe,130,12750000
Üniversite,130,12750000
Haciahmet,130,12750000
Konaklar,130,10200000
Hacimimi,130,8900000
Balmumcu,130,8000000
Tahtakale,130,3900000
Kültür,125,13000000
Balmumcu,125,8800000
Merkez,123,10500000
Kurucesme,120,18750000
Konaklar,120,10500000
Levent,120,8250000
Muradiye,120,7990000
Tomtom,120,6600000
Tahtakale,120,3950000
Firuzköy,120,3900000
Levazim,115,15400000
Kültür,110,23100000
Arnavutköy,110,21950000
Ortaköy,110,12750000
Ortaköy,110,11500000
Mecidiye,110,11000000
Tributary Mh.,110,4000000
Deliklikaya,110,3700000
Hastane Mah.,110,2900000
Gayrettepe,105,14500000
Visnezade,105,8000000
Bolluca Mah.,105,3400000
Bolluca Mah.,105,3380000
Mavigol Mh.,105,3000000
Bolluca Mah.,105,3000000
Bolluca Mah.,104,4540000
Hicret Mah.,104,4540000
Hicret Mah.,104,4540000
Ulus,100,33000000
Kurucesme,100,19650000
Bebek,100,17000000
Balmumcu,100,10000000
Levent,100,9850000
Türkali,100,7950000
Mecidiye,100,7500000
Abbasaga,100,6500000
Muradiye,100,5500000
Karlibayir Mh.,100,4400000
Denizköskler,100,4300000
Karlibayir Mh.,100,4200000
Sinanpasa,100,4000000
Denizköskler,100,3400000
Hastane Mah.,100,2800000
istiklal Mh.,100,2800000
istiklal Mh.,100,2750000
Arnavutköy,97,27269000
Karlibayir Mh.,97,4550000
Abbasaga,95,5275000
Karlibayir Mh.,95,4640000
Sinanpasa,95,4500000
Tributary Mh.,95,4450000
Türkali,95,3750000
Tributary Mh.,95,3650000
Denizköskler,95,3499000
Mecidiye,95,3400000
Ömerli Mh.,95,2850000
istiklal Mh.,95,2785000
Hastane Mah.,95,2750000
Mecidiye,95,2700000
Arnavutköy,90,20500000
Nisbetiye,90,17800000
Nisbetiye,90,14500000
Bebek,90,12000000
Etiler,90,12000000
Nisbetiye,90,10000000
Akatlar,90,8900000
Dikilitas,90,7950000
Ortaköy,90,7500000
Akatlar,90,7000000
Levazim,90,6300000
Levazim,90,5555000
Denizköskler,90,5500000
Kurucesme,90,5500000
yildiz,90,5250000
Karlibayir Mh.,90,4750000
yildiz,90,3950000
Ulus,90,3450000
Sinanpasa,90,3300000
istiklal Mh.,90,2785000
İstiklal Mh.,90,2785000
Üniversite,89,12000000
Cihannüma,87,6500000
Etiler,85,14500000
Etiler,85,12000000
Cihannüma,85,7000000
Abbasaga,85,6750000
Abbasaga,85,6500000
Denizköskler,85,1450000
Tahtakale,80,3900000
Sinanpasa,80,3800000
